epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,2047.59,0.36293,0.21658,0.82725,0.99879,0.98873,0.99226,0.95338,0.32872,0.18004,0.81679,0.000144161,0.000144161,0.000144161
116,2059.81,0.36875,0.22687,0.82836,0.99869,0.98873,0.99233,0.95522,0.31724,0.17586,0.81479,0.000137143,0.000137143,0.000137143
117,2071.91,0.37524,0.22665,0.82849,0.99865,0.98873,0.99212,0.95499,0.31814,0.18802,0.81481,0.000130287,0.000130287,0.000130287
118,2083.87,0.3678,0.22262,0.82919,0.99849,0.98873,0.99212,0.95659,0.32248,0.17823,0.81557,0.000123596,0.000123596,0.000123596
119,2095.8,0.36286,0.22148,0.83034,0.99802,0.98873,0.99204,0.95314,0.33235,0.18281,0.81799,0.000117072,0.000117072,0.000117072
120,2107.68,0.35358,0.21253,0.82696,0.99845,0.98816,0.99204,0.95853,0.31842,0.18588,0.81641,0.000110718,0.000110718,0.000110718
121,2119.54,0.35462,0.21665,0.82826,0.99834,0.98782,0.99209,0.95569,0.32403,0.18302,0.81705,0.000104537,0.000104537,0.000104537
122,2131.37,0.36054,0.21804,0.8296,0.99871,0.98873,0.9923,0.96071,0.32248,0.17536,0.81575,9.85311e-05,9.85311e-05,9.85311e-05
123,2143.28,0.35079,0.21328,0.8251,0.99854,0.98873,0.9923,0.96068,0.30859,0.17403,0.81506,9.2704e-05,9.2704e-05,9.2704e-05
124,2155.16,0.3639,0.22205,0.8268,0.99809,0.98811,0.99218,0.95886,0.31235,0.1752,0.81455,8.70577e-05,8.70577e-05,8.70577e-05
125,2166.95,0.36071,0.21802,0.82857,0.99894,0.98873,0.99243,0.96105,0.30932,0.17342,0.81463,8.15947e-05,8.15947e-05,8.15947e-05
126,2178.81,0.3643,0.21838,0.82442,0.99816,0.98873,0.99258,0.95847,0.31578,0.17366,0.81555,7.63174e-05,7.63174e-05,7.63174e-05
127,2190.56,0.35566,0.21382,0.83085,0.99834,0.98873,0.99254,0.96047,0.31117,0.18076,0.81627,7.12282e-05,7.12282e-05,7.12282e-05
128,2202.32,0.34975,0.21125,0.8232,0.99848,0.98873,0.9925,0.9604,0.31265,0.17864,0.8164,6.63292e-05,6.63292e-05,6.63292e-05
129,2214.16,0.351,0.21012,0.82858,0.99831,0.98873,0.99254,0.95761,0.33091,0.18097,0.81725,6.16227e-05,6.16227e-05,6.16227e-05
130,2226.11,0.35143,0.21504,0.8285,0.99877,0.98873,0.99236,0.95926,0.32573,0.18287,0.81867,5.71106e-05,5.71106e-05,5.71106e-05
131,2238.15,0.35575,0.21237,0.82285,0.99888,0.98873,0.99226,0.96112,0.31591,0.18034,0.8185,5.2795e-05,5.2795e-05,5.2795e-05
132,2250.14,0.36036,0.21586,0.82861,0.9989,0.98873,0.99226,0.95584,0.3214,0.17828,0.81832,4.86777e-05,4.86777e-05,4.86777e-05
133,2262.08,0.35647,0.21407,0.82921,0.99893,0.9885,0.99233,0.95758,0.33394,0.18779,0.82019,4.47606e-05,4.47606e-05,4.47606e-05
134,2273.95,0.34965,0.2115,0.82249,0.99891,0.98873,0.99243,0.95853,0.318,0.17962,0.81832,4.10454e-05,4.10454e-05,4.10454e-05
135,2285.73,0.34996,0.20878,0.82606,0.99878,0.98873,0.9924,0.96102,0.31738,0.17782,0.81795,3.75337e-05,3.75337e-05,3.75337e-05
136,2297.64,0.35822,0.21407,0.82659,0.99861,0.98873,0.99223,0.95802,0.31527,0.17303,0.81663,3.4227e-05,3.4227e-05,3.4227e-05
137,2309.47,0.34041,0.2113,0.82422,0.99878,0.98873,0.99226,0.96086,0.31109,0.17371,0.81703,3.11268e-05,3.11268e-05,3.11268e-05
138,2321.29,0.36015,0.21746,0.83262,0.99889,0.98873,0.9923,0.96159,0.31162,0.17548,0.81706,2.82345e-05,2.82345e-05,2.82345e-05
139,2333.12,0.34535,0.20988,0.82771,0.99882,0.98873,0.99233,0.95989,0.30985,0.17217,0.81618,2.55513e-05,2.55513e-05,2.55513e-05
140,2344.9,0.34753,0.21307,0.83094,0.99875,0.98873,0.9924,0.96056,0.30647,0.17343,0.81601,2.30784e-05,2.30784e-05,2.30784e-05
141,2357.15,0.26285,0.15862,0.77414,0.99873,0.98873,0.99236,0.96027,0.31471,0.17374,0.81672,2.08169e-05,2.08169e-05,2.08169e-05
142,2369.15,0.26753,0.158,0.77499,0.99865,0.98873,0.99236,0.96077,0.31697,0.17302,0.81606,1.87678e-05,1.87678e-05,1.87678e-05
143,2381.01,0.25954,0.15573,0.77571,0.99865,0.98873,0.99236,0.95882,0.31456,0.16998,0.81579,1.6932e-05,1.6932e-05,1.6932e-05
144,2392.89,0.25653,0.1553,0.77678,0.99858,0.98873,0.99243,0.95883,0.31211,0.16828,0.81572,1.53102e-05,1.53102e-05,1.53102e-05
145,2404.67,0.2646,0.16018,0.77691,0.99859,0.98873,0.99243,0.95976,0.31208,0.16833,0.81561,1.39032e-05,1.39032e-05,1.39032e-05
146,2416.46,0.25961,0.15533,0.7794,0.99864,0.98873,0.99243,0.96154,0.31029,0.16771,0.81565,1.27117e-05,1.27117e-05,1.27117e-05
147,2428.22,0.25688,0.15378,0.77573,0.99857,0.98873,0.99247,0.96103,0.31085,0.16813,0.81562,1.1736e-05,1.1736e-05,1.1736e-05
148,2440,0.25859,0.15618,0.78079,0.99858,0.98873,0.99247,0.96286,0.31054,0.16798,0.81575,1.09768e-05,1.09768e-05,1.09768e-05
149,2451.88,0.26524,0.16134,0.77897,0.99858,0.98873,0.99243,0.96192,0.30751,0.16575,0.81572,1.04342e-05,1.04342e-05,1.04342e-05
150,2463.74,0.25581,0.1545,0.77595,0.99851,0.98873,0.99243,0.95935,0.30919,0.16713,0.81539,1.01086e-05,1.01086e-05,1.01086e-05
